district_name,state_name,cattle,buffalo,sheep,goat,horse,pony
Nicobars,Andaman And Nicobar Islands,2004,49,0,8884,0,0
North And Middle Andaman,Andaman And Nicobar Islands,15718,2617,0,27664,0,0
South Andamans,Andaman And Nicobar Islands,18716,1034,5,28213,0,0
Srikakulam,Andhra Pradesh,571943,48481,738910,335684,10,0
Vizianagaram,Andhra Pradesh,490989,135858,540336,271205,36,367
Visakhapatanam,Andhra Pradesh,648743,318846,371430,435620,542,56
East Godavari,Andhra Pradesh,396021,585246,316480,318696,52,24
West Godavari,Andhra Pradesh,201102,627909,478551,207067,31,38
Krishna,Andhra Pradesh,78846,669773,593007,196986,20,0
Guntur,Andhra Pradesh,95927,882347,704863,196153,91,6
Prakasam,Andhra Pradesh,68309,926651,2033479,498472,15,0
Spsr Nellore,Andhra Pradesh,107858,745829,1370812,453820,15,1
Y.S.R.,Andhra Pradesh,137099,486581,1869861,578607,63,1
Kurnool,Andhra Pradesh,356122,419855,1985957,610574,188,32
Anantapur,Andhra Pradesh,497102,285443,4926587,884186,239,20
Chittoor,Andhra Pradesh,950026,86680,1696698,535063,37,0
Tawang,Arunachal Pradesh,17362,2,3195,1895,31,1285
West Kameng,Arunachal Pradesh,15215,11,2001,5764,95,1354
East Kameng,Arunachal Pradesh,24749,64,8,16071,6,0
Papum Pare,Arunachal Pradesh,28890,1631,48,14844,0,0
Upper Subansiri,Arunachal Pradesh,15813,580,86,11903,0,0
West Siang,Arunachal Pradesh,11568,0,56,5070,1,149
East Siang,Arunachal Pradesh,35946,272,0,11881,0,3
Upper Siang,Arunachal Pradesh,7220,0,9,3198,0,0
Changlang,Arunachal Pradesh,26569,849,875,13129,1,63
Tirap,Arunachal Pradesh,2143,0,2,3378,0,0
Lower Subansiri,Arunachal Pradesh,38175,76,334,12113,4,0
Kurung Kumey,Arunachal Pradesh,1637,0,3,4817,0,0
Dibang Valley,Arunachal Pradesh,211,0,0,982,0,4
Lower Dibang Valley,Arunachal Pradesh,14524,1367,0,5772,0,0
Lohit,Arunachal Pradesh,66448,1466,10,30881,3,52
Anjaw,Arunachal Pradesh,1360,0,0,961,0,0
Longding,Arunachal Pradesh,2802,0,0,809,0,0
NAMSAI,Arunachal Pradesh,8344,61,0,3258,0,0
Kra Daadi,Arunachal Pradesh,9503,0,718,11146,0,0
SIANG,Arunachal Pradesh,10742,0,0,1868,0,0
Barpeta,Assam,482515,20629,51906,177709,1768,547
BONGAIGAON,Assam,256952,1240,11557,107460,237,75
Cachar,Assam,354843,50447,27098,139390,212,6
DHEMAJI,Assam,526980,16654,2284,115091,401,50
DHUBRI,Assam,356057,12427,32292,129714,725,27
Dibrugarh,Assam,340624,12533,418,202377,23,14
Goalpara,Assam,333621,8531,23191,102978,782,1
Golaghat,Assam,611453,30549,2981,198300,826,6
Hailakandi,Assam,132228,19215,9173,53181,89,44
Jorhat,Assam,432395,21097,610,173798,19,18
Kamrup,Assam,499937,7076,17667,191743,1365,45
Karbi Anglong,Assam,255056,3884,286,279632,15,1
Karimganj,Assam,279167,27530,23544,80664,163,22
Kokrajhar,Assam,333591,7833,14222,145530,221,72
Lakhimpur,Assam,629028,11666,659,202071,113,0
Morigaon,Assam,355479,4317,8435,82247,357,29
Nagaon,Assam,626451,16304,18661,169825,1346,52
Nalbari,Assam,250211,5814,15809,169294,351,2
